Date,sourceelementkey
2022-04-29,1013
2022-08-22,1013
2022-04-29,1014
2022-08-22,1014
2022-05-03,1017
2022-05-03,1018
2022-05-03,1021
2022-05-03,1022
2022-05-05,1037
2022-05-05,1277
2022-05-05,1278
2022-05-05,1281
2022-04-27,1601
2022-04-19,1617
2022-04-19,1618
2022-04-27,2085
2022-05-05,2793
2022-05-05,2797
2022-05-05,2798
2022-09-06,3081
2022-09-06,3082
2022-09-06,3337
2022-09-06,3338
2022-09-06,3341
2022-09-06,3342
2022-05-05,4445
2022-05-05,4581
2022-05-05,4582
2022-04-22,5802
2022-05-09,6170
2022-05-09,6174
2022-05-09,6178
2022-05-09,6186
2022-05-05,6357
2022-05-05,6358
2022-05-09,7250
2022-05-03,7257
2022-05-03,7258
2022-05-03,7261
2022-05-03,7262
2022-05-05,7273
2022-05-05,7274
2022-05-05,7277
2022-05-05,7278
2022-04-26,7397
2022-09-01,7397
2022-04-26,7398
2022-09-01,7398
2022-04-29,7989
2022-08-22,7989
2022-04-29,7993
2022-08-22,7993
2022-05-03,7997
2022-08-19,7997
2022-05-03,8001
2022-08-19,8001
2022-05-03,8002
2022-08-19,8002
2022-05-05,8013
2022-05-05,8018
2022-04-26,8097
2022-09-01,8097
2022-04-26,8098
2022-09-01,8098
2022-04-26,8101
2022-09-01,8101
2022-04-26,8102
2022-09-01,8102
2022-05-03,8249
2022-08-19,8249
2022-04-26,8301
2022-09-01,8301
2022-04-26,8302
2022-09-01,8302
2022-04-26,8305
2022-09-01,8305
2022-04-26,8306
2022-09-01,8306
2022-08-25,8369
2022-08-25,8377
2022-04-29,8386
2022-08-22,8386
2022-05-03,8389
2022-08-19,8389
2022-04-26,8541
2022-09-01,8541
2022-04-26,8542
2022-09-01,8542
2022-09-06,9109
2022-09-06,9110
2022-09-06,9113
2022-09-06,9114
2022-09-06,9141
2022-09-06,9142
2022-05-03,9277
2022-05-03,9278
2022-05-03,9349
2022-05-03,9350
2022-05-03,9353
2022-05-03,9354
2022-05-03,9357
2022-05-03,9358
2022-04-27,9509
2022-08-25,9697
2022-08-25,9702
2022-05-09,9769
2022-05-09,9770
2022-08-25,10877
2022-08-25,11018
2022-05-09,11118
2022-05-05,11129
2022-05-05,11130
2022-05-03,11397
2022-05-03,11398
2022-08-25,11598
2022-05-09,11665
2022-08-25,11673
2022-08-25,11674
2022-04-26,11717
2022-09-01,11717
2022-04-26,11718
2022-09-01,11718
2022-05-05,11766
2022-05-05,11770
2022-08-25,11865
2022-08-25,11866
2022-08-25,11869
2022-08-25,11870
2022-04-29,12046
2022-08-22,12046
2022-04-29,12205
2022-08-22,12205
2022-04-29,12206
2022-08-22,12206
2022-05-05,12282
2022-05-05,12285
2022-04-22,12401
2022-04-22,12402
2022-04-19,12601
2022-05-05,12673
2022-04-29,12873
2022-08-22,12873
2022-04-29,12874
2022-08-22,12874
2022-04-29,12878
2022-08-22,12878
2022-09-06,13045
2022-09-06,13046
2022-05-05,13061
2022-05-05,13062
2022-08-25,13082
2022-08-25,13086
2022-04-29,13185
2022-08-22,13185
2022-04-29,13186
2022-08-22,13186
2022-04-29,13189
2022-08-22,13189
2022-04-29,13190
2022-08-22,13190
2022-04-27,13209
2022-04-27,13210
2022-04-27,13213
2022-04-27,13214
2022-05-03,13301
2022-05-03,13302
2022-05-03,13305
2022-05-03,13306
2022-05-03,13309
2022-05-03,13313
2022-08-19,13313
2022-05-05,13445
2022-05-03,13517
2022-05-03,13545
2022-08-19,13545
2022-05-03,13546
2022-08-19,13546
2022-04-27,16941
2022-04-27,16942
2022-09-06,18621
2022-09-06,18622
2022-09-06,19482
2022-09-06,19485
2022-09-06,19486
2022-09-06,19489
2022-04-22,20185
2022-04-22,20186
2022-04-26,20841
2022-09-01,20841
2022-04-26,20842
2022-09-01,20842
2022-04-26,20845
2022-09-01,20845
2022-04-26,20846
2022-09-01,20846
2022-05-05,23622
2022-05-05,23877
2022-05-05,23878
2022-05-05,23881
2022-05-05,23937
2022-05-05,23938
2022-05-03,24037
2022-05-03,24038
2022-05-05,24058
2022-05-05,24265
2022-05-05,24266
2022-04-27,24585
2022-04-19,24606
2022-04-29,25697
2022-08-22,25697
2022-04-29,25701
2022-08-22,25701
2022-04-29,25702
2022-08-22,25702
2022-05-03,25705
2022-05-03,25706
2022-05-03,25709
2022-05-03,25710
2022-05-05,25817
2022-05-05,25818
2022-05-05,27429
2022-04-22,28581
2022-04-26,30189
2022-09-01,30189
2022-04-26,30194
2022-09-01,30194
2022-05-09,30685
2022-04-29,30697
2022-08-22,30697
2022-04-29,30698
2022-08-22,30698
2022-05-03,30701
2022-08-19,30701
2022-05-03,30702
2022-08-19,30702
2022-05-03,30970
2022-08-19,30970
2022-05-03,31058
2022-08-19,31058
2022-05-03,31490
2022-05-03,31493
2022-05-03,31494
2022-05-03,31498
2022-08-25,31541
2022-05-05,31582
2022-09-06,31849
2022-09-06,31850
2022-09-06,31853
2022-09-06,31854
2022-05-03,32017
2022-05-03,32018
2022-05-03,32022
2022-05-03,32026
2022-05-03,32030
2022-08-25,32258
2022-08-25,32262
2022-04-27,32289
2022-04-27,32290
2022-04-19,32297
2022-08-25,32466
2022-05-09,32549
2022-08-25,32557
2022-08-25,32558
2022-05-03,33989
2022-05-03,33990
2022-05-09,34214
2022-05-09,34218
2022-08-25,34222
2022-08-25,34305
2022-08-25,34306
2022-08-25,34309
2022-08-25,34310
2022-08-25,34477
2022-08-25,34478
2022-04-29,34661
2022-08-22,34661
2022-04-29,34837
2022-08-22,34837
2022-04-29,34838
2022-08-22,34838
2022-04-29,34841
2022-08-22,34841
2022-04-29,34845
2022-08-22,34845
2022-04-22,35021
2022-04-22,35022
2022-05-05,35333
2022-05-05,35337
2022-05-05,35341
2022-05-05,35342
2022-05-05,35345
2022-04-29,35417
2022-08-22,35417
2022-04-29,35421
2022-08-22,35421
2022-04-29,35422
2022-08-22,35422
2022-04-29,35426
2022-08-22,35426
2022-08-25,35438
2022-05-09,35497
2022-08-25,35505
2022-05-03,35525
2022-08-19,35525
2022-05-03,35526
2022-08-19,35526
2022-09-06,35681
2022-09-06,35682
2022-08-25,35717
2022-04-29,35794
2022-08-22,35794
2022-04-29,35798
2022-08-22,35798
2022-04-27,35837
2022-04-27,35838
2022-04-27,35841
2022-04-27,35842
2022-04-27,35845
2022-04-27,35846
2022-04-27,35849
2022-04-27,35850
2022-05-03,35909
2022-05-05,36010
2022-05-05,36013
2022-05-05,36014
2022-05-03,36137
2022-08-19,36137
2022-05-03,36138
2022-08-19,36138
2022-05-09,36357
2022-05-09,36358
2022-04-21,36490
2022-04-21,36493
2022-04-21,36494
2022-04-21,36813
2022-04-21,36814
2022-04-27,39293
2022-04-27,39333
2022-04-27,39334
2022-04-27,39337
2022-04-27,39338
2022-04-27,39377
2022-04-27,39378
2022-04-27,39394
2022-04-27,39485
2022-04-27,39486
2022-09-06,41030
2022-09-06,41721
2022-09-06,41725
2022-09-06,41726
2022-04-26,42961
2022-09-01,42961
2022-04-26,42962
2022-09-01,42962
2022-04-26,43057
2022-09-01,43057
2022-04-26,43058
2022-09-01,43058
2022-04-26,43118
2022-09-01,43118
2022-04-26,43121
2022-09-01,43121
2022-04-26,43197
2022-09-01,43197
2022-04-26,43910
2022-09-01,43910
2022-04-26,43913
2022-09-01,43913
2022-04-26,43914
2022-09-01,43914
2022-04-26,43941
2022-09-01,43941
2022-04-26,43942
2022-09-01,43942
2022-04-26,43945
2022-09-01,43945
2022-04-26,43946
2022-09-01,43946
2022-05-05,45825
2022-05-05,45826
2022-05-05,45973
2022-05-05,45974
2022-05-05,46082
2022-04-29,46245
2022-08-22,46245
2022-04-29,46246
2022-08-22,46246
2022-04-29,46249
2022-08-22,46249
2022-04-29,46250
2022-08-22,46250
2022-05-03,46253
2022-05-03,46254
2022-05-05,46258
2022-05-05,46457
2022-05-05,46458
2022-04-27,46765
2022-04-27,46766
2022-04-27,47213
2022-04-27,47225
2022-05-09,47961
2022-05-09,47962
2022-05-09,47966
2022-04-29,47969
2022-08-22,47969
2022-05-05,48077
2022-05-05,48078
2022-05-05,48081
2022-09-06,48213
2022-09-06,48214
2022-09-06,48449
2022-09-06,48450
2022-09-06,48770
2022-05-09,49634
2022-04-29,49641
2022-08-22,49641
2022-04-29,49642
2022-08-22,49642
2022-04-29,49645
2022-08-22,49645
2022-05-03,49649
2022-05-03,49650
2022-05-03,49653
2022-05-03,49654
2022-05-05,49813
2022-05-05,49814
2022-05-09,51470
2022-05-09,51473
2022-05-09,51474
2022-05-03,51485
2022-05-03,51489
2022-05-03,51490
2022-05-03,52521
2022-05-03,52522
2022-05-03,53122
2022-08-19,53122
2022-05-05,53145
2022-05-05,53146
2022-04-26,53237
2022-09-01,53237
2022-04-26,53238
2022-09-01,53238
2022-04-26,53241
2022-09-01,53241
2022-09-01,53242
2022-04-29,53422
2022-08-22,53422
2022-05-03,53429
2022-08-19,53429
2022-05-03,53430
2022-08-19,53430
2022-04-29,53542
2022-08-22,53542
2022-04-29,53797
2022-08-22,53797
2022-08-25,54037
2022-05-03,54513
2022-05-03,54514
2022-08-25,54606
2022-08-25,54722
2022-04-27,54765
2022-04-27,54766
2022-08-25,55026
2022-08-25,55029
2022-08-25,55030
2022-05-03,55473
2022-05-03,55474
2022-09-06,56653
2022-09-06,56654
2022-05-03,56682
2022-05-03,56685
2022-05-03,56686
2022-05-03,56690
2022-08-19,56690
2022-08-25,56910
2022-05-09,56977
2022-04-26,57017
2022-09-01,57017
2022-04-26,57018
2022-09-01,57018
2022-05-05,57077
2022-08-25,57190
2022-04-29,57377
2022-08-22,57377
2022-04-29,57513
2022-08-22,57513
2022-04-29,57530
2022-08-22,57530
2022-04-19,57914
2022-04-29,58077
2022-08-22,58077
2022-04-29,58078
2022-08-22,58078
2022-04-29,58081
2022-08-22,58081
2022-04-29,58082
2022-08-22,58082
2022-05-09,58177
2022-08-25,58182
2022-08-25,58193
2022-05-03,58222
2022-08-19,58222
2022-05-09,58393
2022-05-09,58394
2022-08-22,58470
2022-04-29,58473
2022-08-22,58473
2022-04-29,58474
2022-08-22,58474
2022-04-29,58493
2022-08-22,58493
2022-04-29,58494
2022-08-22,58494
2022-04-29,58498
2022-08-22,58498
2022-04-29,58501
2022-08-22,58501
2022-04-29,58502
2022-08-22,58502
2022-04-27,58513
2022-04-27,58514
2022-05-05,58569
2022-05-03,58629
2022-05-03,58633
2022-05-03,58805
2022-05-03,58806
2022-05-03,58809
2022-05-03,58810
2022-08-25,59166
2022-04-27,62033
2022-04-19,62437
2022-04-19,62438
2022-04-27,63125
2022-04-27,63126
2022-04-27,63130
2022-09-06,64317
2022-09-06,64318
2022-09-06,64322
2022-04-22,65041
2022-04-22,65042
2022-04-26,65813
2022-09-01,65813
2022-04-26,65814
2022-09-01,65814
2022-04-26,65817
2022-09-01,65817
2022-04-26,65818
2022-09-01,65818
2022-04-26,66613
2022-09-01,66613
2022-04-26,66614
2022-09-01,66614
2022-04-26,66617
2022-09-01,66617
2022-04-26,66618
2022-09-01,66618
2022-04-26,66621
2022-09-01,66621
2022-04-26,66622
2022-09-01,66622
2022-05-05,68494
2022-05-05,68549
2022-05-05,68550
2022-05-05,68553
2022-05-05,68554
2022-05-05,68829
2022-04-29,68910
2022-08-22,68910
2022-04-29,68914
2022-08-22,68914
2022-05-05,69133
2022-05-05,69134
2022-04-27,69485
2022-04-27,69489
2022-04-21,70501
2022-05-09,70730
2022-05-09,70734
2022-04-29,70737
2022-08-22,70737
2022-04-29,70738
2022-08-22,70738
2022-04-29,70741
2022-08-22,70741
2022-04-29,70742
2022-08-22,70742
2022-05-03,70745
2022-05-03,70746
2022-05-03,70749
2022-05-03,70750
2022-05-05,70762
2022-05-05,70897
2022-05-05,70898
2022-05-05,70901
2022-05-05,70902
2022-09-06,71289
2022-09-06,71290
2022-09-06,71574
2022-05-09,72322
2022-05-03,72325
2022-05-03,72326
2022-05-05,72482
2022-04-29,74022
2022-08-22,74022
2022-05-03,74025
2022-05-03,74026
2022-05-03,74029
2022-05-03,74030
2022-05-05,74042
2022-05-05,74149
2022-05-05,74150
2022-05-09,75149
2022-05-09,75153
2022-05-03,75169
2022-05-03,75170
2022-05-05,75201
2022-05-05,75202
2022-04-26,75282
2022-09-01,75282
2022-05-09,75769
2022-05-09,75773
2022-04-29,75781
2022-08-22,75781
2022-04-26,75865
2022-09-01,75865
2022-04-26,75866
2022-09-01,75866
2022-08-25,76033
2022-08-25,76042
2022-04-26,76101
2022-09-01,76101
2022-04-26,76102
2022-09-01,76102
2022-04-26,76105
2022-09-01,76105
2022-04-26,76106
2022-09-01,76106
2022-05-03,76193
2022-08-19,76193
2022-04-26,76357
2022-09-01,76357
2022-04-26,76358
2022-09-01,76358
2022-08-25,76401
2022-08-25,76402
2022-08-25,76406
2022-08-25,76410
2022-08-25,76417
2022-05-03,76621
2022-05-03,76622
2022-08-25,76681
2022-05-05,76710
2022-09-06,76961
2022-09-06,76962
2022-05-03,77118
2022-05-03,77121
2022-05-03,77217
2022-05-03,77218
2022-05-03,77221
2022-05-03,77222
2022-05-03,77225
2022-08-25,77366
2022-04-27,77389
2022-04-27,77390
2022-04-27,77393
2022-05-09,77549
2022-05-09,77550
2022-08-25,77557
2022-08-25,77561
2022-08-25,77562
2022-05-09,77609
2022-05-09,77610
2022-05-09,77613
2022-05-09,77614
2022-05-03,79354
2022-05-03,79358
2022-05-03,79362
2022-08-19,79362
2022-05-09,79566
2022-05-09,79570
2022-05-09,79574
2022-08-25,79578
2022-08-25,79582
2022-05-09,79649
2022-05-09,79653
2022-05-09,79654
2022-08-25,79657
2022-08-25,79658
2022-04-26,79674
2022-09-01,79674
2022-04-26,79677
2022-09-01,79677
2022-04-26,79678
2022-09-01,79678
2022-04-26,79681
2022-09-01,79681
2022-08-25,79882
2022-04-29,80017
2022-08-22,80017
2022-04-29,80021
2022-08-22,80021
2022-04-29,80206
2022-08-22,80206
2022-05-05,80274
2022-05-05,80277
2022-05-05,80537
2022-05-05,80538
2022-05-05,80541
2022-05-05,80542
2022-04-19,80594
2022-04-19,80598
2022-05-05,80641
2022-05-05,80645
2022-05-05,80650
2022-09-06,80657
2022-09-06,80658
2022-08-25,80742
2022-05-09,80833
2022-05-09,80834
2022-05-09,80837
2022-05-03,80881
2022-05-03,80882
2022-05-05,81070
2022-05-05,81073
2022-05-05,81074
2022-04-29,81189
2022-08-22,81189
2022-04-29,81190
2022-08-22,81190
2022-04-29,81194
2022-08-22,81194
2022-04-27,81209
2022-04-27,81210
2022-05-05,81421
2022-05-05,81422
2022-05-03,81481
2022-05-03,81482
2022-04-27,84641
2022-04-27,84653
2022-04-27,84654
2022-04-27,84689
2022-04-27,84690
2022-04-27,84789
2022-04-27,84790
2022-04-19,85134
2022-04-19,85149
2022-04-19,85150
2022-09-06,86449
2022-09-06,86450
2022-09-06,87253
2022-09-06,87254
2022-09-06,87257
2022-09-06,87258
2022-09-06,87281
2022-09-06,87282
2022-09-06,87285
2022-09-06,87286
2022-04-26,88546
2022-09-01,88546
2022-04-26,88633
2022-09-01,88633
2022-04-26,88634
2022-09-01,88634
2022-04-26,88773
2022-09-01,88773
2022-04-26,88774
2022-09-01,88774
2022-05-05,91545
2022-05-05,91546
2022-05-05,91550
2022-05-05,91725
2022-05-05,91726
2022-05-05,91826
2022-05-05,91829
2022-05-05,91893
2022-05-05,91894
2022-05-05,91897
2022-05-05,91898
2022-05-09,94651
2022-04-26,94847
2022-09-01,94847
2022-04-27,117879
2022-04-27,117932
2022-04-26,119444
2022-09-01,119444
2022-04-26,119445
2022-09-01,119445
2022-04-26,120399
2022-09-01,120399
2022-04-26,120400
2022-09-01,120400
2022-04-26,120403
2022-09-01,120403
2022-05-03,121921
2022-04-26,123744
2022-09-01,123744
2022-04-29,123942
2022-08-22,123942
2022-04-29,123943
2022-08-22,123943
2022-05-05,131238
2022-04-29,136041
2022-08-22,136041
2022-04-27,136322
